Neighborhood,City,Lat,Lng
Adamstown,Newcastle,-32.9344,151.7258
Adamstown Heights,Newcastle,-32.9477,151.7152
Bar Beach,Newcastle,-32.94,151.7678
Beresfield,Newcastle,-32.799,151.635
Birmingham Gardens,Newcastle,-32.8937,32.8937
Black Hill,Newcastle,-32.84,151.612
Broadmeadow,Newcastle,-32.9252,151.7342
Callaghan,Newcastle,-32.89,151.701
Carrington,Newcastle,-32.915,151.768
Cooks Hill,Newcastle,-32.9338,151.7696
Elermore Vale,Newcastle,-32.915,151.668
Fletcher, Newcastle, -32.8650, 151.6350
Georgetown, Newcastle, -32.9089, 151.7313
Hamilton, Newcastle, -32.9229, 151.7459
Hamilton East, Newcastle, -32.9250, 151.7540
Hamilton North, Newcastle, -32.9150, 151.7360
Hamilton South, Newcastle, -32.9310, 151.7510
Hexham, Newcastle, -32.8475, 151.6902
The Hill, Newcastle, -32.9317, 151.7761
Islington, Newcastle, -32.9158, 151.7461
Jesmond, Newcastle, -32.9036, 151.6942
The Junction, Newcastle, -32.9403, 151.7589
Kooragang, Newcastle, -32.8874, 151.7737
Kotara, Newcastle, -32.9434, 151.6976
Lambton, Newcastle, -32.9135, 151.7079
Lenaghan, Newcastle, -32.8480, 151.6290
Maryland, Newcastle, -32.8778, 151.6626
Maryville, Newcastle, -32.9121, 151.7546
Mayfield, Newcastle, -32.8974, 151.7364
Mayfield East, Newcastle, -32.8980, 151.7500
Mayfield North, Newcastle, -32.8900, 151.7430
Mayfield West, Newcastle, -32.8900, 151.7260
Merewether, Newcastle, -32.9428, 151.7525
Merewether Heights, Newcastle, -32.9490, 151.7350
Minmi, Newcastle, -32.8820, 151.6180
New Lambton, Newcastle, -32.9278, 151.7108
New Lambton Heights, Newcastle, -32.9274, 151.6903
Newcastle, Newcastle, -32.9283, 151.7817
Newcastle East, Newcastle, -32.9267, 151.7905
Newcastle West, Newcastle, -32.9287, 151.7609
North Lambton, Newcastle, -32.9040, 151.7040
Rankin Park, Newcastle, -32.9252, 151.6816
Sandgate, Newcastle, -32.8678, 151.7061
Shortland, Newcastle, -32.8820, 151.6850
Stockton, Newcastle, -32.9150, 151.7844
Tarro, Newcastle, -32.8090, 151.6561
Tighes Hill, Newcastle, -32.9050, 151.7576
Wallsend, Newcastle, -32.8980, 151.6680
Warabrook, Newcastle, -32.8817, 151.7178
Waratah, Newcastle, -32.9053, 151.7250
Waratah West, Newcastle, -32.9010, 151.7150
Wickham, Newcastle, -32.9240, 151.7600



